ingredient_id,ingredient_name,shop_section
I001,豚バラ肉,精肉
I002,鶏もも肉,精肉
I003,豚こま切れ肉,精肉
I004,生タラ切り身,鮮魚
I005,生鮭切り身,鮮魚
I006,キャベツ,野菜
I007,にんにく,野菜
I008,玉ねぎ,野菜
I009,レタス,野菜
I010,えのき,野菜
I011,白菜,野菜
I012,長ねぎ,野菜
I013,にんじん,野菜
I014,しいたけ,野菜
I015,水菜,野菜
I016,しめじ,野菜
I017,じゃがいも,野菜
I018,なす,野菜
I019,さつまいも,野菜
I020,豆腐,日配品
I021,ミックスビーンズ,日配品
I022,トマト缶,日配品
I023,牛乳,日配品
I024,バター,日配品
I025,味噌,調味料
I026,カレー粉,調味料
I027,鶏ガラスープの素,調味料
I028,ポン酢,調味料
I029,醤油,調味料
I030,サラダ油,調味料
I031,コンソメ,調味料
I032,大根,野菜
I033,ピーマン,野菜
I034,ブロッコリー,野菜
I035,冷凍むきえび,鮮魚
I036,ベーコン,精肉
I037,トマト,野菜
I038,ほうれん草,野菜
I039,卵,日配品
I040,ごま油,調味料
I041,酢,調味料
I042,砂糖,調味料
I043,片栗粉,調味料
I044,中華あじの素,調味料